topology,n,avg_k,ba_m,rule,type,mixed,steps,tailfrac,seed,mean_p,std_p,mean_q,std_q,accept_rate
ER,300,4.0,,natural_selection,C,False,20000,0.1,42,0.23632735755691295,0.07194824948125868,0.1464318159810001,0.08330376283610516,0.9708818635607321
ER,300,6.0,,natural_selection,C,False,20000,0.1,42,0.23357952766273854,0.06873004882141125,0.14053269464283635,0.03414339224553601,0.9932885906040269
ER,300,8.0,,natural_selection,C,False,20000,0.1,42,0.2791761523141162,0.042717620693699505,0.2342454869837612,0.04625009626917345,1.0
BA,300,,2,natural_selection,C,False,20000,0.1,42,0.27502931836911926,0.0,0.22321073814882283,8.326672684688674e-17,1.0
BA,300,,3,natural_selection,C,False,20000,0.1,42,0.42192181968527054,1.1102230246251565e-16,0.029797219438070344,0.0,1.0
BA,300,,4,natural_selection,C,False,20000,0.1,42,0.6214770763684837,0.06716171024634317,0.03731050692592165,0.046021456815968385,1.0
ER,500,4.0,,natural_selection,C,False,20000,0.1,42,0.3617293738174207,0.09238297345548231,0.1494086270529278,0.11247610814017465,0.9875518672199171
ER,500,6.0,,natural_selection,C,False,20000,0.1,42,0.24147613494385278,0.03459867714736964,0.20980521330377422,0.04521919726322257,0.9811954331766286
ER,500,8.0,,natural_selection,C,False,20000,0.1,42,0.333330586700387,0.035080398921984286,0.23599500540259488,0.07121795939257351,1.0
BA,500,,2,natural_selection,C,False,20000,0.1,42,0.2750293183691193,5.551115123125783e-17,0.22321073814882283,8.326672684688674e-17,1.0
BA,500,,3,natural_selection,C,False,20000,0.1,42,0.4155734102460028,0.03383872830261094,0.03286025885137818,0.01632682319542883,1.0
BA,500,,4,natural_selection,C,False,20000,0.1,42,0.6335033901683816,0.03949387577226383,0.029069673284740992,0.027062528510393657,1.0
ER,1000,4.0,,natural_selection,C,False,20000,0.1,42,0.39190343237356823,0.073011353224574,0.2782468813522393,0.10411285196404708,0.993963782696177
ER,1000,6.0,,natural_selection,C,False,20000,0.1,42,0.29130276330863636,0.051857473826492494,0.19295308132030534,0.09501513789840636,1.0
ER,1000,8.0,,natural_selection,C,False,20000,0.1,42,0.2694336101056016,0.019046686261238014,0.2416820519791371,0.0534129710700706,1.0
BA,1000,,2,natural_selection,C,False,20000,0.1,42,0.27535861351580143,0.005868813717232749,0.2224761572612707,0.009779173163915453,1.0
BA,1000,,3,natural_selection,C,False,20000,0.1,42,0.4148265385472654,0.0356997640708294,0.033220616429414394,0.017224752978024335,1.0
BA,1000,,4,natural_selection,C,False,20000,0.1,42,0.6293607615243206,0.06161001634337734,0.026490037638680304,0.009054071073708427,1.0
EMP,34,4.529411764705882,,natural_selection,C,False,20000,0.1,42,0.42507533958214,0.17933929727059764,0.14159898047334685,0.09754470763179462,1.0
