topology,n,avg_k,ba_m,rule,type,mixed,steps,tailfrac,seed,mean_p,std_p,mean_q,std_q,accept_rate
ER,300,4.0,,natural_selection,A,True,20000,0.1,42,0.4078829337967401,0.06631685831406069,0.31707209774833245,0.13246785190008886,0.9792013311148087
ER,300,6.0,,natural_selection,A,True,20000,0.1,42,0.4027563136454393,0.0023349136552903303,0.40415037484446714,0.02644048523872114,1.0
ER,300,8.0,,natural_selection,A,True,20000,0.1,42,0.3571950921067941,0.02802281429201102,0.34387714638314254,0.04287225886607167,1.0
BA,300,,2,natural_selection,A,True,20000,0.1,42,0.2263356322209993,0.021874258505235503,0.2263356322209993,0.021874258505235503,0.9865771812080537
BA,300,,3,natural_selection,A,True,20000,0.1,42,0.21863797480360336,0.0,0.21863797480360336,0.0,1.0
BA,300,,4,natural_selection,A,True,20000,0.1,42,0.22789827565154686,0.0,0.22789827565154686,0.0,1.0
ER,500,4.0,,natural_selection,A,True,20000,0.1,42,0.4709718510324258,0.05842514549702203,0.44816797772013556,0.06223730194137555,1.0
ER,500,6.0,,natural_selection,A,True,20000,0.1,42,0.4167703375433311,0.044481827500674045,0.32721633029262104,0.14062050610810362,1.0
ER,500,8.0,,natural_selection,A,True,20000,0.1,42,0.38555306170638814,0.0291218165395384,0.3754042587413747,0.01934817347748466,1.0
BA,500,,2,natural_selection,A,True,20000,0.1,42,0.22321073814882283,8.326672684688674e-17,0.22321073814882283,8.326672684688674e-17,1.0
BA,500,,3,natural_selection,A,True,20000,0.1,42,0.2453927339807688,0.05037754586979535,0.20474311030540254,0.026163164802848426,1.0
BA,500,,4,natural_selection,A,True,20000,0.1,42,0.6356844442644001,1.1102230246251565e-16,0.6356844442644001,1.1102230246251565e-16,1.0
ER,1000,4.0,,natural_selection,A,True,20000,0.1,42,0.42339020028189334,0.05472572380874253,0.4096982812457962,0.06503333431013285,0.9836519114688129
ER,1000,6.0,,natural_selection,A,True,20000,0.1,42,0.3105795774333684,0.04661289150617961,0.1844394212193546,0.1070288412247834,0.9784696919509771
ER,1000,8.0,,natural_selection,A,True,20000,0.1,42,0.2991911495538735,0.03404647006145484,0.17542027886014025,0.09958912695869036,0.9967645594823296
BA,1000,,2,natural_selection,A,True,20000,0.1,42,0.2295481742021591,0.03017563987893684,0.22825477708521563,0.029351567002858934,0.9779559118236473
BA,1000,,3,natural_selection,A,True,20000,0.1,42,0.21863797480360336,0.0,0.21863797480360336,0.0,1.0
BA,1000,,4,natural_selection,A,True,20000,0.1,42,0.22789827565154672,1.3877787807814457e-16,0.22789827565154672,1.3877787807814457e-16,1.0
EMP,34,4.529411764705882,,natural_selection,A,True,20000,0.1,42,0.2669778220491134,5.551115123125783e-17,0.2669778220491134,5.551115123125783e-17,1.0
