topology,n,avg_k,ba_m,rule,type,mixed,steps,tailfrac,seed,mean_p,std_p,mean_q,std_q,accept_rate
ER,300,4.0,,social_penalty,B,False,20000,0.1,42,0.6191784077521185,0.26786918574207563,0.3808215922478813,0.26786918574207563,0.7803660565723793
ER,300,6.0,,social_penalty,B,False,20000,0.1,42,0.6135356187518106,0.2766010739600361,0.38646438124818944,0.2766010739600361,0.7114093959731543
ER,300,8.0,,social_penalty,B,False,20000,0.1,42,0.6622350294328184,0.2730117499944235,0.33776497056718163,0.2730117499944235,0.8092436974789916
BA,300,,2,social_penalty,B,False,20000,0.1,42,0.720043205746567,0.21247909471896798,0.27995679425343295,0.21247909471896795,0.9949664429530202
BA,300,,3,social_penalty,B,False,20000,0.1,42,0.7026316219072007,0.21958322941892108,0.29736837809279926,0.21958322941892108,0.9180695847362514
BA,300,,4,social_penalty,B,False,20000,0.1,42,0.6902240409019454,0.23766866101305872,0.3097759590980546,0.23766866101305872,0.9079391891891891
ER,500,4.0,,social_penalty,B,False,20000,0.1,42,0.6336124459540374,0.26414324690927726,0.3663875540459627,0.26414324690927726,0.7966804979253111
ER,500,6.0,,social_penalty,B,False,20000,0.1,42,0.669529586683092,0.26696511777485576,0.3304704133169081,0.26696511777485576,0.8462055070517126
ER,500,8.0,,social_penalty,B,False,20000,0.1,42,0.664661329432123,0.2674232619800869,0.335338670567877,0.2674232619800869,0.7988769780500256
BA,500,,2,social_penalty,B,False,20000,0.1,42,0.7129095006322286,0.22299267392090646,0.28709049936777137,0.22299267392090646,0.9889558232931727
BA,500,,3,social_penalty,B,False,20000,0.1,42,0.6944335909209334,0.21699645836136833,0.3055664090790667,0.21699645836136833,0.9128101945003353
BA,500,,4,social_penalty,B,False,20000,0.1,42,0.6797037028107352,0.24353095272650657,0.32029629718926467,0.24353095272650657,0.8689516129032258
ER,1000,4.0,,social_penalty,B,False,20000,0.1,42,0.621709275364253,0.26963290052337036,0.3782907246357469,0.2696329005233703,0.7635814889336016
ER,1000,6.0,,social_penalty,B,False,20000,0.1,42,0.6105429354393411,0.26971817013972343,0.38945706456065887,0.26971817013972343,0.7297118251076515
ER,1000,8.0,,social_penalty,B,False,20000,0.1,42,0.6671446790011031,0.2700758658003842,0.3328553209988969,0.2700758658003842,0.8168242906918866
BA,1000,,2,social_penalty,B,False,20000,0.1,42,0.6926253831331162,0.23763031878254093,0.3073746168668838,0.23763031878254093,0.9784569138276553
BA,1000,,3,social_penalty,B,False,20000,0.1,42,0.7157184964985722,0.2047536215726943,0.28428150350142767,0.2047536215726943,0.9632230023403544
BA,1000,,4,social_penalty,B,False,20000,0.1,42,0.694687783402334,0.23409311307544717,0.305312216597666,0.23409311307544717,0.8732429718875502
EMP,34,4.529411764705882,,social_penalty,B,False,20000,0.1,42,0.7001384105067572,0.28064130479797816,0.2998615894932429,0.28064130479797816,0.987012987012987
