topology,n,avg_k,ba_m,rule,type,mixed,steps,tailfrac,seed,mean_p,std_p,mean_q,std_q,accept_rate
ER,300,4.0,,social_penalty,C,False,20000,0.1,42,0.5156114427257164,0.29038410885476534,0.46741390285967743,0.2798395285173783,0.5740432612312812
ER,300,6.0,,social_penalty,C,False,20000,0.1,42,0.5268178904464293,0.2875634949898527,0.4756306878920919,0.28423689391831186,0.5469798657718121
ER,300,8.0,,social_penalty,C,False,20000,0.1,42,0.6130247352868788,0.28473648243645727,0.39507345180354336,0.2726676185068986,0.7369747899159664
BA,300,,2,social_penalty,C,False,20000,0.1,42,0.6465371694993814,0.2493613986710133,0.3027026719724041,0.23696967174407046,0.9144295302013423
BA,300,,3,social_penalty,C,False,20000,0.1,42,0.6351926509299654,0.2509396944853871,0.30534855410459605,0.2265719111673534,0.8585858585858586
BA,300,,4,social_penalty,C,False,20000,0.1,42,0.6355633332143249,0.2547212060945592,0.36215039083586625,0.24917369982648205,0.7867398648648649
ER,500,4.0,,social_penalty,C,False,20000,0.1,42,0.5448281402259315,0.28590641055249494,0.47557618130398543,0.2867358011074385,0.5741701244813278
ER,500,6.0,,social_penalty,C,False,20000,0.1,42,0.6094621147846675,0.28535435909570617,0.3765366478377454,0.27568967371288283,0.7488247145735393
ER,500,8.0,,social_penalty,C,False,20000,0.1,42,0.5977573640774948,0.27909358557308916,0.3770010883371807,0.26140300046737214,0.7212863705972435
BA,500,,2,social_penalty,C,False,20000,0.1,42,0.644117962822467,0.24225396563971976,0.28333562793533684,0.22130247002477818,0.9216867469879518
BA,500,,3,social_penalty,C,False,20000,0.1,42,0.6220635111379194,0.2444667682376396,0.3193343395637321,0.2336138543349709,0.7910798122065728
BA,500,,4,social_penalty,C,False,20000,0.1,42,0.6061341248642744,0.2654751463194876,0.3375826729607841,0.24170458026821665,0.8016633064516129
ER,1000,4.0,,social_penalty,C,False,20000,0.1,42,0.5361676874217144,0.27779718981346885,0.4706325243726914,0.28293494981315015,0.5822434607645876
ER,1000,6.0,,social_penalty,C,False,20000,0.1,42,0.5165214985643889,0.2836944354165557,0.4794427976095499,0.28258086390651527,0.544551175886055
ER,1000,8.0,,social_penalty,C,False,20000,0.1,42,0.5714048655145927,0.2915160922737367,0.40929117292098205,0.2674584631094908,0.6640119462419114
BA,1000,,2,social_penalty,C,False,20000,0.1,42,0.6295208688494537,0.2442233891420811,0.2928598239798517,0.22258726148719704,0.9010521042084169
BA,1000,,3,social_penalty,C,False,20000,0.1,42,0.6369397969237771,0.2468476006699594,0.3285196620772084,0.23622493762219784,0.8590772316950852
BA,1000,,4,social_penalty,C,False,20000,0.1,42,0.6075795137707837,0.26361423271881473,0.34826903392326325,0.2432263973483968,0.7868975903614458
EMP,34,4.529411764705882,,social_penalty,C,False,20000,0.1,42,0.5407987866240229,0.2533887374938092,0.38772464724666966,0.2904786318049669,0.7857142857142857
