model,N,k,p_over_pc,Phi_mean,Psi_mean,chi_mean,p_eff_mean,n_reps
ER,200,3,0.4000000000000001,0.019,0.1901981351981352,1.047222222222222,0.02007537688442211,10
ER,200,3,0.4411764705882354,0.0195,0.1577209207201467,1.062051282051282,0.021884422110552765,10
ER,200,3,0.4823529411764707,0.0225,0.1331421182778399,1.176751660448255,0.02420100502512563,10
ER,200,3,0.5235294117647059,0.024,0.13323917932661566,1.1432640249775798,0.025884422110552762,10
ER,200,3,0.5647058823529413,0.027000000000000003,0.11114883068510095,1.4056271269374718,0.02840201005025126,10
ER,200,3,0.6058823529411765,0.026500000000000003,0.08905314923228314,1.40331139911099,0.0305427135678392,10
ER,200,3,0.6470588235294118,0.033,0.11126832861527584,1.63688041388815,0.03251758793969849,10
ER,200,3,0.6882352941176471,0.0375,0.10933569875687674,1.9019976057697214,0.03428643216080402,10
ER,200,3,0.7294117647058824,0.039,0.10234623433243735,1.8004032566660502,0.03622613065326633,10
ER,200,3,0.7705882352941177,0.048,0.09987849571106532,2.389915396002598,0.03933165829145729,10
ER,200,3,0.811764705882353,0.0615,0.1113210475504085,2.4825412863150786,0.04101005025125628,10
ER,200,3,0.8529411764705882,0.05550000000000001,0.09514667917733084,2.57354528295799,0.04266331658291457,10
ER,200,3,0.8941176470588236,0.0665,0.10506135241850603,3.362198465062382,0.044829145728643216,10
ER,200,3,0.9352941176470588,0.076,0.10959372628265145,3.752419995606868,0.04658291457286432,10
ER,200,3,0.9764705882352942,0.1055,0.13597643043105243,4.220269351820346,0.04905025125628141,10
ER,200,3,1.0176470588235293,0.166,0.19509752259080396,6.301059721548633,0.05111557788944724,10
ER,200,3,1.0588235294117647,0.189,0.20158992796476927,6.10915314596357,0.05325628140703518,10
ER,200,3,1.1,0.1985,0.1961898286860793,7.225779320184567,0.05516582914572864,10
ER,200,3,1.1411764705882355,0.3525,0.3439502149328575,8.456200864107583,0.05724623115577889,10
ER,200,3,1.1823529411764706,0.40599999999999997,0.3952568197538468,7.348615005210722,0.05908040201005025,10
ER,200,3,1.223529411764706,0.4875,0.4600017523078258,10.151990751780966,0.06054271356783919,10
ER,200,3,1.2647058823529411,0.729,0.6700947530395754,7.058658694765337,0.06407035175879397,10
ER,200,3,1.3058823529411767,0.6845,0.6224156466414097,6.2549509391338125,0.06539698492462312,10
ER,200,3,1.3470588235294116,0.7889999999999999,0.7229903363384808,9.997369238084765,0.06686934673366834,10
ER,200,3,1.3882352941176472,0.8800000000000001,0.8333624456597576,3.032950244651061,0.0692462311557789,10
ER,200,3,1.4294117647058824,0.9175000000000001,0.8616273803587022,2.9930632855063277,0.07209547738693467,10
ER,200,3,1.470588235294118,0.9189999999999999,0.8695426279988793,2.831503498591554,0.07257286432160805,10
ER,200,3,1.511764705882353,0.9480000000000001,0.8937608777600744,2.633287017349664,0.07447236180904523,10
ER,200,3,1.5529411764705883,0.9629999999999999,0.9301808185627651,2.218765313625633,0.07768844221105528,10
ER,200,3,1.5941176470588236,0.9785,0.9395648404140677,1.8448396169799282,0.07918090452261306,10
ER,200,3,1.6352941176470588,0.9855,0.9569695916543071,1.7303955014855048,0.08177889447236181,10
ER,200,3,1.6764705882352942,0.99,0.9694559600908607,1.7051065750514767,0.0847035175879397,10
ER,200,3,1.7176470588235295,0.993,0.9771017233354625,1.6123359155464416,0.08616582914572865,10
ER,200,3,1.758823529411765,0.9949999999999999,0.9807534677407524,1.623108733371891,0.08776884422110552,10
ER,200,3,1.8,0.9970000000000001,0.9837618631886272,1.3407142857142857,0.0896030150753769,10
