model,N,k,p,p_over_pc,p_eff,Phi,Psi,Nk_tot,chi,replicate
ER,100,4,0.05975206328742887,0.4,0.06101010101010101,0.0,0.0,0,0.0,0
ER,100,4,0.06590301097878185,0.44117647058823534,0.0698989898989899,0.0,0.0,0,0.0,0
ER,100,4,0.07205395867013481,0.4823529411764706,0.07212121212121213,0.0,0.0,0,0.0,0
ER,100,4,0.07820490636148779,0.5235294117647059,0.07757575757575758,0.0,0.0,0,0.0,0
ER,100,4,0.08435585405284077,0.5647058823529413,0.08464646464646465,0.05,0.5,4,1.0,0
ER,100,4,0.09050680174419373,0.6058823529411765,0.0898989898989899,0.04,1.0,1,0.0,0
ER,100,4,0.0966577494355467,0.6470588235294118,0.09636363636363636,0.04,1.0,1,0.0,0
ER,100,4,0.10280869712689968,0.6882352941176471,0.10767676767676768,0.05,0.5,4,1.0,0
ER,100,4,0.10895964481825265,0.7294117647058824,0.09777777777777778,0.04,0.5,2,1.0,0
ER,100,4,0.11511059250960562,0.7705882352941177,0.1098989898989899,0.04,0.125,8,1.0,0
ER,100,4,0.12126154020095858,0.8117647058823529,0.12424242424242424,0.05,0.15384615384615385,13,1.1818181818181819,0
ER,100,4,0.12741248789231158,0.8529411764705883,0.13595959595959595,0.07,0.2,20,1.5,0
ER,100,4,0.13356343558366454,0.8941176470588236,0.13636363636363635,0.05,0.14285714285714285,14,1.1666666666666667,0
ER,100,4,0.1397143832750175,0.9352941176470588,0.14444444444444443,0.09,0.20689655172413793,29,1.6956521739130435,0
ER,100,4,0.14586533096637047,0.9764705882352941,0.14585858585858585,0.07,0.09302325581395349,43,1.9230769230769231,0
ER,100,4,0.15201627865772346,1.0176470588235296,0.15171717171717172,0.14,0.2037037037037037,54,2.5348837209302326,0
ER,100,4,0.15816722634907643,1.0588235294117647,0.15232323232323233,0.12,0.18,50,2.707317073170732,0
ER,100,4,0.1643181740404294,1.1,0.16585858585858587,0.1,0.19230769230769232,52,3.1904761904761907,0
ER,100,4,0.17046912173178236,1.1411764705882352,0.16363636363636364,0.16,0.20270270270270271,74,3.305084745762712,0
ER,100,4,0.17662006942313535,1.1823529411764706,0.18141414141414142,0.56,0.5347222222222222,144,11.388059701492537,0
ER,100,4,0.18277101711448832,1.223529411764706,0.17696969696969697,0.19,0.21,100,5.050632911392405,0
ER,100,4,0.18892196480584128,1.2647058823529411,0.19333333333333333,0.65,0.48945147679324896,237,59.03305785123967,0
ER,100,4,0.19507291249719427,1.3058823529411767,0.18363636363636363,0.31,0.2462686567164179,134,11.178217821782178,0
ER,100,4,0.20122386018854724,1.3470588235294119,0.1987878787878788,0.84,0.8120805369127517,298,5.857142857142857,0
ER,100,4,0.2073748078799002,1.388235294117647,0.20020202020202021,0.82,0.7,240,3.5,0
ER,100,4,0.21352575557125317,1.4294117647058824,0.2105050505050505,0.96,0.8803418803418803,351,2.4285714285714284,0
ER,100,4,0.21967670326260613,1.4705882352941175,0.2111111111111111,0.92,0.905852417302799,393,1.8108108108108107,0
