model,N,p,p_over_pc,S,replicate
ER_classic,500,0.0012,0.6,0.02,0
ER_classic,500,0.0012470588235294117,0.6235294117647058,0.02,0
ER_classic,500,0.0012941176470588234,0.6470588235294117,0.038,0
ER_classic,500,0.0013411764705882352,0.6705882352941176,0.036,0
ER_classic,500,0.001388235294117647,0.6941176470588235,0.018,0
ER_classic,500,0.0014352941176470587,0.7176470588235293,0.052,0
ER_classic,500,0.0014823529411764705,0.7411764705882352,0.038,0
ER_classic,500,0.0015294117647058822,0.7647058823529411,0.03,0
ER_classic,500,0.001576470588235294,0.7882352941176469,0.066,0
ER_classic,500,0.0016235294117647057,0.8117647058823528,0.06,0
ER_classic,500,0.0016705882352941175,0.8352941176470587,0.034,0
ER_classic,500,0.0017176470588235295,0.8588235294117648,0.056,0
ER_classic,500,0.0017647058823529412,0.8823529411764706,0.12,0
ER_classic,500,0.001811764705882353,0.9058823529411765,0.044,0
ER_classic,500,0.0018588235294117648,0.9294117647058824,0.068,0
ER_classic,500,0.0019058823529411765,0.9529411764705883,0.05,0
ER_classic,500,0.0019529411764705883,0.9764705882352941,0.058,0
ER_classic,500,0.002,1.0,0.068,0
ER_classic,500,0.002047058823529412,1.0235294117647058,0.12,0
ER_classic,500,0.0020941176470588236,1.0470588235294118,0.33,0
ER_classic,500,0.0021411764705882353,1.0705882352941176,0.206,0
ER_classic,500,0.002188235294117647,1.0941176470588234,0.3,0
ER_classic,500,0.002235294117647059,1.1176470588235294,0.108,0
ER_classic,500,0.0022823529411764706,1.1411764705882352,0.192,0
ER_classic,500,0.0023294117647058824,1.1647058823529413,0.092,0
ER_classic,500,0.002376470588235294,1.188235294117647,0.422,0
ER_classic,500,0.002423529411764706,1.2117647058823529,0.34,0
ER_classic,500,0.0024705882352941176,1.2352941176470589,0.178,0
ER_classic,500,0.0025176470588235294,1.2588235294117647,0.41,0
ER_classic,500,0.002564705882352941,1.2823529411764705,0.388,0
ER_classic,500,0.002611764705882353,1.3058823529411765,0.344,0
ER_classic,500,0.0026588235294117647,1.3294117647058823,0.478,0
ER_classic,500,0.0027058823529411765,1.352941176470588,0.496,0
ER_classic,500,0.002752941176470588,1.3764705882352941,0.402,0
ER_classic,500,0.0028,1.4,0.23,0
ER_classic,500,0.0012,0.6,0.018,1
ER_classic,500,0.0012470588235294117,0.6235294117647058,0.03,1
ER_classic,500,0.0012941176470588234,0.6470588235294117,0.034,1
ER_classic,500,0.0013411764705882352,0.6705882352941176,0.076,1
ER_classic,500,0.001388235294117647,0.6941176470588235,0.024,1
ER_classic,500,0.0014352941176470587,0.7176470588235293,0.034,1
ER_classic,500,0.0014823529411764705,0.7411764705882352,0.044,1
ER_classic,500,0.0015294117647058822,0.7647058823529411,0.026,1
ER_classic,500,0.001576470588235294,0.7882352941176469,0.03,1
ER_classic,500,0.0016235294117647057,0.8117647058823528,0.04,1
