nodeID,nodeLabel,latitude,longitude
38,ARG.10_1,-24.08203983349989,-65.44937318840866
39,ARG.11_1,-37.03549385049996,-63.7788478304021
40,ARG.12_1,-28.55184841099989,-66.7471372630383
41,ARG.13_1,-32.88400268549995,-68.89196612365475
42,ARG.14_1,-27.91162395449993,-55.71531613991404
43,ARG.15_1,-39.139019322499934,-71.08134445179107
44,ARG.16_1,-40.77819394949989,-63.82296815422328
45,ARG.17_1,-24.902026176499877,-63.956053554023775
46,ARG.18_1,-31.21199607799994,-68.43391949057394
47,ARG.19_1,-32.30276870749992,-66.5472470591057
48,ARG.1_1,-37.16349029449992,-62.96776464686448
49,ARG.20_1,-49.98472213699986,-69.24838335940295
50,ARG.21_1,-32.69737625049996,-61.69427555652016
51,ARG.22_1,-29.271913527499947,-62.63530608926669
52,ARG.23_1,-53.606189500499966,-68.28587235762404
53,ARG.24_1,-26.539072035999908,-64.83759146563949
54,ARG.2_1,-27.976959228999903,-65.92887138543222
55,ARG.3_1,-25.775843620499955,-61.48273644090537
56,ARG.4_1,-42.43861199999992,-65.20026551444977
57,ARG.5_1,-34.6211109164999,-58.43426927878154
58,ARG.6_1,-32.20802307149995,-64.61944416402616
59,ARG.7_1,-28.49442863499993,-58.86817073472948
60,ARG.8_1,-31.957769296999917,-58.43103384404488
61,ARG.9_1,-23.95239499999991,-61.2043100350656
