topology,n,avg_k,ba_m,rule,type,mixed,steps,tailfrac,seed,mean_p,std_p,mean_q,std_q,accept_rate
ER,300,4.0,,natural_selection,B,False,20000,0.1,42,0.6045488301220547,0.07866676961529273,0.3954511698779452,0.07866676961529273,1.0
ER,300,6.0,,natural_selection,B,False,20000,0.1,42,0.5694841682753611,0.048442418446030894,0.4305158317246389,0.048442418446030894,1.0
ER,300,8.0,,natural_selection,B,False,20000,0.1,42,0.5373047728372362,0.0347342347455296,0.46269522716276373,0.0347342347455296,1.0
BA,300,,2,natural_selection,B,False,20000,0.1,42,0.6343387948695987,0.019625853432347316,0.36566120513040146,0.019625853432347316,1.0
BA,300,,3,natural_selection,B,False,20000,0.1,42,0.7089762198631059,0.029790075100526926,0.29102378013689406,0.029790075100526923,1.0
BA,300,,4,natural_selection,B,False,20000,0.1,42,0.6394267984578837,0.0,0.3605732015421163,5.551115123125783e-17,1.0
ER,500,4.0,,natural_selection,B,False,20000,0.1,42,0.5917062280361215,0.07477797044338187,0.40829377196387856,0.07477797044338187,0.9979253112033195
ER,500,6.0,,natural_selection,B,False,20000,0.1,42,0.521489903493986,0.03331642376860985,0.4785100965060139,0.03331642376860984,1.0
ER,500,8.0,,natural_selection,B,False,20000,0.1,42,0.5659420034873379,0.023402865861349667,0.43405799651266214,0.023402865861349667,1.0
BA,500,,2,natural_selection,B,False,20000,0.1,42,0.6423790561179353,0.024310050873814094,0.3576209438820647,0.02431005087381408,1.0
BA,500,,3,natural_selection,B,False,20000,0.1,42,0.7338183996465906,0.01583276610795485,0.26618160035340943,0.01583276610795485,1.0
BA,500,,4,natural_selection,B,False,20000,0.1,42,0.6391759139047601,0.002276469164592799,0.36082408609523986,0.002276469164592799,1.0
ER,1000,4.0,,natural_selection,B,False,20000,0.1,42,0.5652407557577899,0.07082685911792652,0.43475924424221024,0.07082685911792652,0.9994969818913481
ER,1000,6.0,,natural_selection,B,False,20000,0.1,42,0.5400972419949279,0.04860378230527023,0.4599027580050721,0.04860378230527023,1.0
ER,1000,8.0,,natural_selection,B,False,20000,0.1,42,0.5407571092936275,0.04129756167278839,0.45924289070637253,0.0412975616727884,1.0
BA,1000,,2,natural_selection,B,False,20000,0.1,42,0.6344105507894238,0.021391665268626524,0.3655894492105762,0.021391665268626524,1.0
BA,1000,,3,natural_selection,B,False,20000,0.1,42,0.7322834306981838,0.029211491350307647,0.2677165693018162,0.029211491350307647,0.9989969909729187
BA,1000,,4,natural_selection,B,False,20000,0.1,42,0.6394267984578837,0.0,0.36057320154211625,0.0,1.0
EMP,34,4.529411764705882,,natural_selection,B,False,20000,0.1,42,0.672236778871899,0.029152432616309613,0.327763221128101,0.029152432616309613,1.0
