topology,n,avg_k,ba_m,rule,type,mixed,steps,tailfrac,seed,mean_p,std_p,mean_q,std_q,accept_rate
ER,300,4.0,,social_penalty,A,False,20000,0.1,42,0.494156399169829,0.2949893508915435,0.494156399169829,0.2949893508915435,0.5
ER,300,6.0,,social_penalty,A,False,20000,0.1,42,0.4943575336518146,0.2958517077889721,0.4943575336518146,0.2958517077889721,0.5
ER,300,8.0,,social_penalty,A,False,20000,0.1,42,0.4355042158056963,0.26444517957733105,0.4355042158056963,0.26444517957733105,0.5
BA,300,,2,social_penalty,A,False,20000,0.1,42,0.41483511510671617,0.2492528509387795,0.41483511510671617,0.2492528509387795,0.5
BA,300,,3,social_penalty,A,False,20000,0.1,42,0.4260087576020777,0.23310832828814423,0.4260087576020777,0.23310832828814423,0.5
BA,300,,4,social_penalty,A,False,20000,0.1,42,0.41130573581746593,0.2544249685597591,0.41130573581746593,0.2544249685597591,0.5
ER,500,4.0,,social_penalty,A,False,20000,0.1,42,0.5016862679218628,0.29099782303038385,0.5016862679218628,0.29099782303038385,0.5
ER,500,6.0,,social_penalty,A,False,20000,0.1,42,0.4362015600785112,0.25325089954832214,0.4362015600785112,0.25325089954832214,0.5
ER,500,8.0,,social_penalty,A,False,20000,0.1,42,0.4425900866208167,0.251666665706993,0.4425900866208167,0.251666665706993,0.5
BA,500,,2,social_penalty,A,False,20000,0.1,42,0.42921546341097505,0.23826264531468067,0.42921546341097505,0.23826264531468067,0.5
BA,500,,3,social_penalty,A,False,20000,0.1,42,0.40723375361359104,0.23705368295952306,0.40723375361359104,0.23705368295952306,0.5
BA,500,,4,social_penalty,A,False,20000,0.1,42,0.4303452978760349,0.25429213522995464,0.4303452978760349,0.25429213522995464,0.5
ER,1000,4.0,,social_penalty,A,False,20000,0.1,42,0.5107678027806917,0.2876931590912259,0.5107678027806917,0.2876931590912259,0.5
ER,1000,6.0,,social_penalty,A,False,20000,0.1,42,0.5121522046943737,0.2882723553326783,0.5121522046943737,0.2882723553326783,0.5
ER,1000,8.0,,social_penalty,A,False,20000,0.1,42,0.4475633486381799,0.2578902726664813,0.4475633486381799,0.2578902726664813,0.5
BA,1000,,2,social_penalty,A,False,20000,0.1,42,0.42192695927338414,0.22808112003048103,0.42192695927338414,0.22808112003048103,0.5
BA,1000,,3,social_penalty,A,False,20000,0.1,42,0.41368123844666205,0.24149204207851102,0.41368123844666205,0.24149204207851102,0.5
BA,1000,,4,social_penalty,A,False,20000,0.1,42,0.43317153442070994,0.2522685231903024,0.43317153442070994,0.2522685231903024,0.5
EMP,34,4.529411764705882,,social_penalty,A,False,20000,0.1,42,0.3902551281594129,0.26940405933154654,0.3902551281594129,0.26940405933154654,0.5
