topology,n,avg_k,ba_m,rule,type,mixed,steps,tailfrac,seed,mean_p,std_p,mean_q,std_q,accept_rate
ER,300,4.0,,social_penalty,A,True,20000,0.1,42,0.5498271625610911,0.282974032942633,0.45827877122771543,0.2866662274835696,0.5690515806988353
ER,300,6.0,,social_penalty,A,True,20000,0.1,42,0.5330144154910404,0.28041343813050806,0.46594885840490036,0.2894235270487691,0.5637583892617449
ER,300,8.0,,social_penalty,A,True,20000,0.1,42,0.5347818415081584,0.2950179149206115,0.3515672330642669,0.25051428390038305,0.6907563025210084
BA,300,,2,social_penalty,A,True,20000,0.1,42,0.6132264818047709,0.2707193139308311,0.35783497094589317,0.2574413173652817,0.7768456375838926
BA,300,,3,social_penalty,A,True,20000,0.1,42,0.5687454958958411,0.28299181761743303,0.3623077862599745,0.2465460763529137,0.72334455667789
BA,300,,4,social_penalty,A,True,20000,0.1,42,0.5975389043258701,0.2757614967812286,0.39970461925716605,0.270707184905967,0.6883445945945946
ER,500,4.0,,social_penalty,A,True,20000,0.1,42,0.5487731303558379,0.2887539993884714,0.4798556157729147,0.2961771169688195,0.5715767634854771
ER,500,6.0,,social_penalty,A,True,20000,0.1,42,0.586036573943267,0.29264913764872574,0.3519504538696202,0.26413654397311453,0.7605775688381464
ER,500,8.0,,social_penalty,A,True,20000,0.1,42,0.5624500416822853,0.2916858798994863,0.3781324770590738,0.26974446484882386,0.6817253700867789
BA,500,,2,social_penalty,A,True,20000,0.1,42,0.6418837563287864,0.2591568390347399,0.3186523452724085,0.24221134326059923,0.9006024096385542
BA,500,,3,social_penalty,A,True,20000,0.1,42,0.5748137987618547,0.2663008578235438,0.3673151393169538,0.24221525155380003,0.7739771965124078
BA,500,,4,social_penalty,A,True,20000,0.1,42,0.5565268682140877,0.26977648041336993,0.37740410870725455,0.26119203741825026,0.6965725806451613
ER,1000,4.0,,social_penalty,A,True,20000,0.1,42,0.5359431071781532,0.2849519694587076,0.460828236581801,0.28356219119935716,0.5829979879275654
ER,1000,6.0,,social_penalty,A,True,20000,0.1,42,0.5299349469594954,0.2823428174700706,0.4826232365699747,0.28405616466024153,0.5508446505465386
ER,1000,8.0,,social_penalty,A,True,20000,0.1,42,0.5597909544816714,0.2953307702767585,0.3975769986162401,0.276041111020987,0.6596565455450473
BA,1000,,2,social_penalty,A,True,20000,0.1,42,0.6237486545408982,0.26196093476321913,0.3273514702280081,0.2357171408519257,0.878006012024048
BA,1000,,3,social_penalty,A,True,20000,0.1,42,0.6163285313901983,0.27086380252325243,0.3517170382880997,0.2537950357533745,0.7691407556001337
BA,1000,,4,social_penalty,A,True,20000,0.1,42,0.5681074863803294,0.2800667863912867,0.3769035569032032,0.2610727307923688,0.6887550200803213
EMP,34,4.529411764705882,,social_penalty,A,True,20000,0.1,42,0.5152787493887901,0.2582807849230794,0.38433634347709345,0.24462440274332176,0.6168831168831169
