model,N,k,p_over_pc,Phi_mean,Psi_mean,chi_mean,p_eff_mean,n_reps
ER,1000,4,0.4,0.0047,0.10679643017800913,1.0268774703557313,0.027713313313313316,10
ER,1000,4,0.44117647058823534,0.0045,0.05749491774453075,1.0350274725274724,0.030578978978978977,10
ER,1000,4,0.48235294117647065,0.0051,0.03770064461989579,1.0953031928031929,0.03337317317317317,10
ER,1000,4,0.5235294117647059,0.0064,0.036306586556720206,1.1582670834419562,0.036295895895895894,10
ER,1000,4,0.5647058823529413,0.0064,0.023262426991535738,1.2242531872689795,0.039021821821821824,10
ER,1000,4,0.6058823529411765,0.0071,0.02247545062993663,1.3031747708278263,0.04191251251251251,10
ER,1000,4,0.6470588235294118,0.008400000000000001,0.018086998705657095,1.4170283803259989,0.044855055055055056,10
ER,1000,4,0.6882352941176471,0.0089,0.012649266739328013,1.4681601172060108,0.04770550550550551,10
ER,1000,4,0.7294117647058824,0.009600000000000001,0.011079964783056466,1.7174278047014646,0.050548148148148155,10
ER,1000,4,0.7705882352941178,0.012,0.010604536617737114,1.9626102972617772,0.05342202202202202,10
ER,1000,4,0.811764705882353,0.012,0.008369770794973487,2.196204675908881,0.05626646646646647,10
ER,1000,4,0.8529411764705883,0.023100000000000002,0.012685277964338784,2.7030136331559347,0.05919579579579579,10
ER,1000,4,0.8941176470588236,0.0221,0.008868633353293714,3.042460106942701,0.06175135135135135,10
ER,1000,4,0.9352941176470589,0.0388,0.013431822910920358,4.229068243575331,0.06473513513513514,10
ER,1000,4,0.9764705882352943,0.0583,0.015730650454764544,6.094063342441004,0.06797837837837838,10
ER,1000,4,1.0176470588235296,0.0962,0.021549450964865418,10.68582495398961,0.07054734734734736,10
ER,1000,4,1.0588235294117647,0.242,0.04948865326259719,18.860959382092233,0.07344044044044044,10
ER,1000,4,1.1,0.7373999999999999,0.19857992290600407,39.30190792770073,0.07642122122122122,10
ER,1000,4,1.1411764705882352,0.9733,0.4311182937616949,11.065612132655053,0.07880840840840841,10
ER,1000,4,1.1823529411764706,0.9983000000000001,0.61615528737474,6.192559064738754,0.08182322322322322,10
ER,1000,4,1.223529411764706,0.9999,0.7229099635833313,4.274518370541933,0.08475075075075075,10
ER,1000,4,1.2647058823529413,1.0,0.8094921001496859,3.045352246492201,0.08755595595595596,10
ER,1000,4,1.3058823529411765,1.0,0.8621817107228121,2.660122554237417,0.09043123123123123,10
ER,1000,4,1.3470588235294119,1.0,0.906954052682921,2.139426369192612,0.09332132132132132,10
ER,1000,4,1.3882352941176472,1.0,0.9340556858667963,1.9182486880949832,0.09607007007007007,10
ER,1000,4,1.4294117647058826,1.0,0.9562506431216701,1.7209133296592456,0.09921981981981982,10
ER,1000,4,1.470588235294118,1.0,0.9708659645838967,1.5447461837282799,0.10196476476476476,10
ER,1000,4,1.5117647058823531,1.0,0.9797896381440093,1.4522936594001696,0.1046878878878879,10
ER,1000,4,1.5529411764705885,1.0,0.9868131641892607,1.3587930831419697,0.10783223223223223,10
ER,1000,4,1.5941176470588236,1.0,0.9911252862798567,1.2952125908624883,0.11056256256256256,10
ER,1000,4,1.6352941176470588,1.0,0.9940872116419307,1.2591402781424983,0.11339719719719718,10
ER,1000,4,1.6764705882352942,1.0,0.9962286256560121,1.1965083316354357,0.11643303303303303,10
ER,1000,4,1.7176470588235295,1.0,0.9974576751209486,1.1453354301888283,0.11905945945945946,10
ER,1000,4,1.758823529411765,1.0,0.9984706977772116,1.1066214214706263,0.12172292292292293,10
ER,1000,4,1.8,1.0,0.9990752646295658,1.0938292562235215,0.1249043043043043,10
