model,N,k,p,p_over_pc,p_eff,Phi,Psi,Nk_tot,chi,replicate
ER,100,2,0.004,0.4,0.0034343434343434343,0.07,0.35294117647058826,17,1.7272727272727273,0
ER,100,2,0.004411764705882353,0.4411764705882353,0.0032323232323232323,0.03,0.125,16,1.0,0
ER,100,2,0.004823529411764706,0.48235294117647054,0.0048484848484848485,0.05,0.16666666666666666,24,2.1,0
ER,100,2,0.005235294117647059,0.5235294117647059,0.005858585858585859,0.07,0.20689655172413793,29,3.260869565217391,0
ER,100,2,0.005647058823529412,0.5647058823529412,0.006060606060606061,0.06,0.16666666666666666,30,2.04,0
ER,100,2,0.006058823529411765,0.6058823529411764,0.006464646464646465,0.04,0.09375,32,1.4827586206896552,0
ER,100,2,0.006470588235294119,0.6470588235294118,0.005858585858585859,0.04,0.10344827586206896,29,2.0,0
ER,100,2,0.006882352941176471,0.6882352941176472,0.007070707070707071,0.09,0.22857142857142856,35,3.074074074074074,0
ER,100,2,0.007294117647058824,0.7294117647058824,0.005454545454545455,0.06,0.18518518518518517,27,3.1818181818181817,0
ER,100,2,0.007705882352941177,0.7705882352941177,0.007272727272727273,0.07,0.16666666666666666,36,2.6666666666666665,0
ER,100,2,0.00811764705882353,0.8117647058823529,0.006464646464646465,0.07,0.1875,32,2.8461538461538463,0
ER,100,2,0.008529411764705883,0.8529411764705882,0.008282828282828282,0.07,0.14634146341463414,41,3.4,0
ER,100,2,0.008941176470588237,0.8941176470588237,0.006262626262626263,0.06,0.16129032258064516,31,2.076923076923077,0
ER,100,2,0.009352941176470588,0.9352941176470588,0.008888888888888889,0.11,0.22727272727272727,44,4.117647058823529,0
ER,100,2,0.009764705882352943,0.9764705882352942,0.011717171717171718,0.52,0.9137931034482759,58,1.8,0
ER,100,2,0.010176470588235296,1.0176470588235296,0.010101010101010102,0.26,0.5,50,4.28,0
ER,100,2,0.010588235294117648,1.0588235294117647,0.008282828282828282,0.1,0.21951219512195122,41,4.375,0
ER,100,2,0.011000000000000001,1.1,0.013535353535353536,0.49,0.7611940298507462,67,5.0,0
ER,100,2,0.011411764705882354,1.1411764705882355,0.009494949494949495,0.25,0.5319148936170213,47,3.3636363636363638,0
ER,100,2,0.011823529411764707,1.1823529411764706,0.011515151515151515,0.16,0.2807017543859649,57,8.365853658536585,0
ER,100,2,0.01223529411764706,1.223529411764706,0.008686868686868687,0.22,0.4883720930232558,43,3.3636363636363638,0
ER,100,2,0.012647058823529414,1.2647058823529413,0.014747474747474747,0.51,0.7397260273972602,73,5.842105263157895,0
ER,100,2,0.013058823529411767,1.3058823529411767,0.01595959595959596,0.67,0.8987341772151899,79,1.5,0
ER,100,2,0.01347058823529412,1.3470588235294119,0.012323232323232323,0.24,0.39344262295081966,61,9.054054054054054,0
ER,100,2,0.013882352941176472,1.3882352941176472,0.016565656565656565,0.57,0.8048780487804879,82,2.375,0
ER,100,2,0.014294117647058825,1.4294117647058824,0.013131313131313131,0.54,0.8461538461538461,65,1.2,0
ER,100,2,0.014705882352941178,1.4705882352941178,0.013939393939393939,0.52,0.7971014492753623,69,3.4285714285714284,0
ER,100,2,0.01511764705882353,1.5117647058823531,0.017777777777777778,0.73,0.9545454545454546,88,2.5,0
ER,100,2,0.015529411764705885,1.5529411764705885,0.021212121212121213,0.81,0.9619047619047619,105,4.0,0
ER,100,2,0.015941176470588236,1.5941176470588236,0.012727272727272728,0.54,0.8571428571428571,63,1.8888888888888888,0
ER,100,2,0.01635294117647059,1.635294117647059,0.014747474747474747,0.35,0.4931506849315068,73,11.162162162162161,0
ER,100,2,0.016764705882352945,1.6764705882352946,0.017373737373737375,0.68,0.9186046511627907,86,5.285714285714286,0
ER,100,2,0.017176470588235297,1.7176470588235295,0.015555555555555555,0.6,0.8311688311688312,77,3.0,0
ER,100,2,0.017588235294117648,1.7588235294117647,0.016767676767676768,0.71,0.891566265060241,83,1.4444444444444444,0
ER,100,2,0.018000000000000002,1.8000000000000003,0.016565656565656565,0.71,0.926829268292683,82,1.6666666666666667,0
ER,100,2,0.004,0.4,0.005858585858585859,0.05,0.13793103448275862,29,1.88,1
ER,100,2,0.004411764705882353,0.4411764705882353,0.0034343434343434343,0.04,0.17647058823529413,17,1.2857142857142858,1
