n_nodes,n_edges,components,giant_comp_size,avg_strength,avg_clustering,betweenness_avg,betweenness_max,total_sci,country_ISO3
179,15931,1,179,4635689.027932961,0.0031393130053933003,0.03161444463713039,0.21024566749190632,414894168.0,GBR
110,5995,1,110,5191958.036363636,0.008443920007430234,0.034326444876903596,0.14033299354400272,285557692.0,ITA
101,5050,1,101,1816279.2475247525,0.006313985196121354,0.028970897089708965,0.1292929292929293,91722102.0,FRA
81,3240,1,81,2290157.4320987654,0.02377394360234381,0.01490857946554149,0.1120253164556962,92751376.0,TUR
81,3240,1,81,2047424.3950617283,0.008247079650782127,0.014267854352242537,0.12151898734177216,82920688.0,PHL
77,2926,1,77,2683244.3636363638,0.02124345105373792,0.007883344725449987,0.04491228070175438,103304908.0,THA
73,2628,1,73,3007021.97260274,0.031551740978339834,0.03920938109631917,0.1412363067292645,109756302.0,POL
63,1953,1,63,1207923.873015873,0.012596863268195365,0.009317317619803075,0.09518773135906927,38049602.0,VNM
59,1711,1,59,1808958.440677966,0.010174509282399342,0.02970459462507819,0.1252268602540835,53364274.0,ESP
57,1596,1,57,73732070.38596492,0.008876950940924855,0.020391888812941447,0.17272727272727273,2101364006.0,UGA
52,1326,1,52,13814401.461538462,0.04320871536594657,0.005203619909502263,0.050980392156862744,359174438.0,GRC
48,1128,1,48,1095893.1666666667,0.016892118662907348,0.008499074930619797,0.1572617946345976,26301436.0,DZA
47,1081,1,47,16189475.489361702,0.05702469344145467,0.005982115325316066,0.03671497584541063,380452674.0,KEN
47,1081,1,47,809912.085106383,0.03632849186673021,0.0006783842121492445,0.011594202898550725,19032934.0,JPN
44,946,1,44,7747752.636363637,0.0126008280443068,0.0916138125440451,0.3698781838316722,170450558.0,BEL
42,861,1,42,3749186.0,0.06550837191631331,0.027845528455284558,0.1329268292682927,78732906.0,ROU
40,780,1,40,3354458.3,0.03774046457422006,0.03218623481781376,0.13360323886639675,67089166.0,NLD
37,666,1,37,2231649.2972972975,0.05805447188977932,0.032389532389532384,0.32857142857142857,41285512.0,NGA
37,666,1,37,11437704.0,0.048742599897632286,0.03848133848133848,0.44761904761904764,211597524.0,MDA
35,595,1,35,9618971.657142857,0.028579641323324235,0.09895594601476954,0.4028520499108734,168332004.0,AUT
33,528,1,33,445123.63636363635,0.020749912862273016,0.022238514173998043,0.0907258064516129,7344540.0,IDN
32,496,1,32,245899.875,0.04892140582742224,0.03252688172043011,0.14193548387096774,3934398.0,MEX
32,496,1,32,7556665.25,0.06642139491580477,0.008534946236559138,0.06881720430107527,120906644.0,DOM
30,435,1,30,17707012.4,0.06544166272347754,0.0014778325123152708,0.014778325123152709,265605186.0,TZA
28,378,1,28,5638180.428571428,0.1293477374950911,0.007936507936507938,0.03418803418803419,78934526.0,BGR
28,378,1,28,6725180.571428572,0.0352141670578447,0.032661782661782664,0.14245014245014245,94152528.0,CAN
27,351,1,27,767711.5555555555,0.06382033182630881,0.028148148148148148,0.39692307692307693,10364106.0,EGY
